"dataElement","period","orgUnit","categoryOptionCombo","attributeOptionCombo","value","storedBy","created","lastUpdated","followUp","comment"
"ZjX6dK8ZNm4","2016Q1","l4wFmU7ozI5","wGxoultJedR","wGxoultJedR","1","Gonleyen","2016-04-14T18:14:18.960+0000","2016-04-14T18:14:18.957+0000",FALSE,NA
"tlN5zuDnVpl","2016Q1","l4wFmU7ozI5","wGxoultJedR","wGxoultJedR","8","Gonleyen","2016-04-14T18:14:22.650+0000","2016-04-14T18:14:22.648+0000",FALSE,NA
"MZYkGxCV6RA","2016Q1","CQaV7d4fwuf","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:14:43.027+0000","2016-04-14T18:14:43.025+0000",FALSE,NA
"OGhGWM5qXlg","2016Q1","CQaV7d4fwuf","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:14:44.557+0000","2016-04-14T18:14:44.555+0000",FALSE,NA
"oXdtI8X8dlF","2016Q1","CQaV7d4fwuf","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T18:14:51.724+0000","2016-04-14T18:14:51.721+0000",FALSE,NA
"UOY2PKzbA81","2016Q1","CQaV7d4fwuf","wGxoultJedR","wGxoultJedR","24","Gonleyen","2016-04-14T18:14:55.310+0000","2016-04-14T18:14:55.307+0000",FALSE,NA
"tlN5zuDnVpl","2016Q1","CQaV7d4fwuf","wGxoultJedR","wGxoultJedR","10","Gonleyen","2016-04-14T18:15:00.938+0000","2016-04-14T18:15:00.936+0000",FALSE,NA
"MZYkGxCV6RA","2016Q1","TiBbiDRTJ8I","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:15:43.195+0000","2016-04-14T18:15:43.193+0000",FALSE,NA
"OGhGWM5qXlg","2016Q1","TiBbiDRTJ8I","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:15:44.565+0000","2016-04-14T18:15:44.563+0000",FALSE,NA
"tlN5zuDnVpl","2016Q1","TiBbiDRTJ8I","wGxoultJedR","wGxoultJedR","7","Gonleyen","2016-04-14T18:16:09.962+0000","2016-04-14T18:16:09.960+0000",FALSE,NA
"lfhUkDW78Ir","2016Q1","TiBbiDRTJ8I","wGxoultJedR","wGxoultJedR","false","Gonleyen","2016-04-14T18:16:13.084+0000","2016-04-14T18:16:30.745+0000",FALSE,"March 2016"
"OkdjDuBoeN2","2016Q1","Qys519VEcIE","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T18:16:50.204+0000","2016-04-14T18:16:50.202+0000",FALSE,NA
"zzHaQVGkRPA","2016Q1","Qys519VEcIE","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:16:50.777+0000","2016-04-14T18:16:50.775+0000",FALSE,NA
"UOY2PKzbA81","2016Q1","Qys519VEcIE","wGxoultJedR","wGxoultJedR","14","Gonleyen","2016-04-14T18:17:00.853+0000","2016-04-14T18:17:00.850+0000",FALSE,NA
"tlN5zuDnVpl","2016Q1","Qys519VEcIE","wGxoultJedR","wGxoultJedR","8","Gonleyen","2016-04-14T18:17:05.461+0000","2016-04-14T18:17:05.458+0000",FALSE,NA
"wZX2UPMhT1y","2016Q1","Qys519VEcIE","wGxoultJedR","wGxoultJedR","8","Gonleyen","2016-04-14T18:17:12.526+0000","2016-04-14T18:17:12.524+0000",FALSE,NA
"MZYkGxCV6RA","2016Q1","N0HDYodt6vJ","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T18:18:52.781+0000","2016-04-14T18:18:52.778+0000",FALSE,NA
"OkdjDuBoeN2","2016Q1","Qdfau7fR5W1","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:50:06.388+0000","2016-04-14T17:50:06.385+0000",FALSE,NA
"tVr3DNBPDif","2016Q1","L6K4xUpdT6c","wGxoultJedR","wGxoultJedR","9","Gonleyen","2016-04-14T17:16:45.556+0000","2016-04-14T17:16:45.553+0000",FALSE,NA
"UOY2PKzbA81","2016Q1","L6K4xUpdT6c","wGxoultJedR","wGxoultJedR","9","Gonleyen","2016-04-14T17:18:00.923+0000","2016-04-14T17:18:00.921+0000",FALSE,NA
"ZjX6dK8ZNm4","2016Q1","L6K4xUpdT6c","wGxoultJedR","wGxoultJedR","1","Gonleyen","2016-04-14T17:18:10.651+0000","2016-04-14T17:18:10.649+0000",FALSE,NA
"wZX2UPMhT1y","2016Q1","L6K4xUpdT6c","wGxoultJedR","wGxoultJedR","6","Gonleyen","2016-04-14T17:18:21.815+0000","2016-04-14T17:18:21.813+0000",FALSE,NA
"oXdtI8X8dlF","2016Q1","XLHZvwRqH69","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:30:19.132+0000","2016-04-14T18:22:58.990+0000",FALSE,NA
